Task_name,Participant #,Runtime_mod,Movie_time,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient 1,Gradient 2,Gradient 3
Movie Task-lms,subject005,9,99.56270800007042,7.000000000000011,3.0999999999999983,5.100000000000017,4.500000000000007,2.8000000000000007,3.000000000000001,4.900000000000015,4.70000000000001,6.899999999999993,4.900000000000011,4.30000000000001,3.000000000000001,3.9000000000000132,4.200000000000002,5.2000000000000135,3.2999999999999994,0,0,0
Movie Task-lms,subject005,9,4.06123310001567,8.0,4.0,2.9000000000000017,3.800000000000006,4.200000000000006,2.799999999999999,6.800000000000011,5.400000000000009,7.499999999999991,5.000000000000011,1.7999999999999994,6.300000000000013,3.500000000000002,6.2000000000000135,4.800000000000007,5.600000000000012,0,0,0
Movie Task-c4,subject006,-10,226.23967609999818,2.899999999999998,2.7000000000000006,7.499999999999995,7.20000000000001,7.899999999999991,9.0,6.600000000000005,2.4999999999999996,2.2999999999999994,2.0,7.0000000000000036,8.0,7.6999999999999975,6.899999999999996,2.3999999999999986,4.700000000000001,0,0,0
Movie Task-c4,subject006,-10,118.12637159999576,1.9,2.9000000000000123,6.599999999999997,9.699999999999987,4.600000000000017,8.499999999999998,7.400000000000006,3.2000000000000126,1.2999999999999994,1.6999999999999993,7.499999999999992,7.69999999999999,7.5999999999999925,6.2000000000000135,2.400000000000012,7.399999999999994,0,0,0
Movie Task-c4,subject006,-10,155.75668489999953,2.0,5.3999999999999995,3.400000000000002,9.699999999999985,8.899999999999988,4.400000000000001,7.100000000000003,3.800000000000013,2.3000000000000083,2.5000000000000155,5.499999999999999,8.399999999999991,6.099999999999998,3.9,1.6999999999999975,8.79999999999999,0,0,0
Movie Task-c4,subject006,-10,101.58074040000793,2.100000000000015,2.0999999999999974,1.0999999999999985,7.0,5.100000000000002,8.100000000000007,1.800000000000001,1.700000000000001,2.099999999999999,1.4999999999999984,5.799999999999999,4.000000000000017,1.5000000000000044,5.000000000000001,4.200000000000006,1.4999999999999976,0,0,0
Movie Task-c4,subject006,-10,162.64558789999865,7.99999999999999,4.000000000000017,1.3000000000000012,7.699999999999993,7.999999999999992,8.49999999999999,2.6000000000000014,7.000000000000011,8.099999999999996,8.400000000000006,6.4999999999999964,2.7000000000000006,5.899999999999997,5.200000000000017,7.699999999999991,5.200000000000003,0,0,0
Movie Task-c4,subject006,-10,11.468512199993711,4.800000000000001,1.6999999999999993,4.2000000000000135,8.799999999999997,8.700000000000005,2.3999999999999995,9.199999999999987,6.999999999999993,6.499999999999997,3.8000000000000167,4.500000000000014,5.2000000000000135,7.799999999999994,3.9000000000000097,2.0,5.600000000000005,0,0,0
Movie Task-summer,subject006,13,146.11759979999624,4.000000000000013,8.29999999999999,1.5000000000000044,8.0,7.099999999999995,8.59999999999999,9.299999999999992,2.699999999999999,3.1999999999999993,3.1000000000000054,7.900000000000004,6.299999999999998,8.900000000000004,9.399999999999988,7.3000000000000025,9.999999999999986,0,0,0
Movie Task-summer,subject006,13,130.21984350000275,8.69999999999999,8.499999999999988,2.0,7.599999999999992,6.399999999999999,7.499999999999992,9.000000000000004,8.09999999999999,8.0,6.30000000000001,5.000000000000003,4.300000000000001,7.499999999999992,8.599999999999994,5.399999999999999,7.899999999999993,0,0,0
Movie Task-summer,subject006,13,115.44146329999785,5.899999999999997,9.099999999999989,2.899999999999999,9.199999999999989,7.999999999999993,9.0,3.2000000000000055,5.500000000000016,4.6,2.100000000000001,9.799999999999986,8.999999999999986,8.99999999999999,9.0,7.800000000000004,9.599999999999998,0,0,0
Movie Task-summer,subject006,13,190.60076890001073,8.0,6.800000000000011,2.2000000000000117,7.599999999999998,6.399999999999999,8.79999999999999,4.100000000000014,8.599999999999989,9.199999999999987,6.0,7.499999999999995,8.0,7.6000000000000085,7.0,8.599999999999987,6.300000000000013,0,0,0
Movie Task-summer,subject006,13,63.131898100007675,8.499999999999995,7.299999999999999,2.6000000000000014,7.400000000000002,6.7999999999999945,7.199999999999996,4.0,7.599999999999993,7.200000000000003,4.500000000000011,4.200000000000001,3.900000000000001,8.0,3.9,5.899999999999997,5.399999999999999,0,0,0
Movie Task-summer,subject006,13,8.463814600007026,9.299999999999992,8.0,2.900000000000009,8.09999999999999,8.099999999999996,7.899999999999991,7.0,6.299999999999999,7.499999999999993,3.8000000000000025,8.900000000000004,5.3,7.20000000000001,3.8000000000000167,7.699999999999991,6.0,0,0,0
