METADATA:
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject
9409934,2,1,0,04
Time after setup,10.66152449999936
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Probe Order,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
ESQ,121.6068263000343,,Emotion_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,123.05372460000217,,Emotion_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test2
ESQ,123.05598340003053,,Past_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,124.70456280000508,,Past_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test2
ESQ,124.7067112000077,,Knowledge_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,126.37071600003401,,Knowledge_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test2
ESQ,126.37372070003767,,Images_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,127.93711100000655,,Images_response,10.0,Movie Task,1,2,,Marker Started at 10,Movie Task-test2
ESQ,127.93943870003568,,Self_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,129.38804920000257,,Self_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test2
ESQ,129.39018730004318,,Sounds_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,130.70400319999317,,Sounds_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test2
ESQ,130.70808330003638,,Problem_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,132.27145080000628,,Problem_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test2
ESQ,132.27376330003608,,Deliberate_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,134.85352180001792,,Deliberate_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test2
ESQ,134.8557394000236,,Words_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,136.30447860003915,,Words_response,10.0,Movie Task,1,2,,Marker Started at 10,Movie Task-test2
ESQ,136.30664560000878,,Intrusive_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,139.68918400001712,,Intrusive_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test2
ESQ,139.6918158000335,,Other_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,141.38929680001456,,Other_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test2
Movie prompt 1 test2.mp4,141.4245179000427,,,,Movie Task,1,2,,0,
ESQ,146.81978820002405,,Sounds_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,148.60541770001873,,Sounds_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test2
ESQ,148.60766830004286,,Problem_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,150.0406451000017,,Problem_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test2
ESQ,150.043184500013,,Future_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,151.43884130002698,,Future_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test2
ESQ,151.44122939999215,,Words_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,152.8555792000261,,Words_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test2
ESQ,152.85884120000992,,Knowledge_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,154.48947299999418,,Knowledge_response,10.0,Movie Task,1,2,,Marker Started at 10,Movie Task-test2
ESQ,154.4922139000264,,Distracting_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,155.55564890004462,,Distracting_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test2
ESQ,155.5572468000464,,Detailed_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,156.90536140004406,,Detailed_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test2
ESQ,156.9064769000397,,Other_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,158.2771360000479,,Other_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test2
ESQ,158.27839560003486,,Emotion_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,161.62364320002962,,Emotion_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test2
ESQ,161.6256657000049,,Intrusive_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,165.2910697000334,,Intrusive_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test2
ESQ,165.2934968000045,,Self_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,166.74136640003417,,Self_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test2
ESQ,166.74371800001245,,Past_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,168.22390060004545,,Past_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test2
ESQ,168.22702140000183,,Absorption_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,169.6079670000472,,Absorption_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test2
ESQ,169.61209390003933,,Deliberate_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,171.0244033000199,,Deliberate_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test2
ESQ,171.02793500002008,,Images_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,172.57391080004163,,Images_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test2
ESQ,172.5761835000012,,Focus_start,,Movie Task,1,2,,,Movie Task-test2
ESQ,174.00787000003038,,Focus_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test2
Movie prompt 2 test2.mp4,174.04497760004597,,,,Movie Task,1,2,,0,
EXPERIMENT DATA:,Movie Task
Start Time,186.39911790000042
Movie Task Start,186.39921850000974,,,,Movie Task,1,2,,,
Movie Init,188.08740980003495,,,,Movie Task,1,2,,,
Movie Start,188.09179700003006,,,,Movie Task,1,2,,test3.mp4,
ESQ,194.1799343000166,,Knowledge_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,198.7090262999991,,Knowledge_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test3
ESQ,198.71167190000415,,Sounds_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,200.1433057000395,,Sounds_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test3
ESQ,200.14532180002425,,Images_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,201.59402150003007,,Images_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
ESQ,201.59647869999753,,Problem_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,203.19403150002472,,Problem_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test3
ESQ,203.19628360000206,,Intrusive_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,204.7101986000198,,Intrusive_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test3
ESQ,204.71294820000185,,Focus_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,206.2937623000471,,Focus_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test3
ESQ,206.29546450002817,,Self_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,208.91051800001878,,Self_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test3
ESQ,208.91504360002,,Words_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,210.42950630001724,,Words_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test3
ESQ,210.43183120002504,,Distracting_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,212.0281787000131,,Distracting_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test3
ESQ,212.03081930003827,,Emotion_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,214.27835189999314,,Emotion_response,10.0,Movie Task,1,2,,Marker Started at 10,Movie Task-test3
ESQ,214.2800578000024,,Past_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,216.31553090002853,,Past_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test3
ESQ,216.31705920002423,,Future_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,217.91067090001889,,Future_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test3
ESQ,217.91211269999621,,Absorption_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,219.5667117999983,,Absorption_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
ESQ,219.56887650000863,,Deliberate_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,221.87739750003675,,Deliberate_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test3
ESQ,221.87973540002713,,Detailed_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,223.39523300004657,,Detailed_response,9.0,Movie Task,1,2,,Marker Started at 9,Movie Task-test3
ESQ,223.3976246000384,,Other_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,224.94535009999527,,Other_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
Movie prompt 1 test3.mp4,224.98498360003578,,,,Movie Task,1,2,,0,
ESQ,230.14331070001936,,Problem_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,233.94620430003852,,Problem_response,4.0,Movie Task,1,2,,Marker Started at 4,Movie Task-test3
ESQ,233.94854750001105,,Other_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,235.4801389000495,,Other_response,2.0,Movie Task,1,2,,Marker Started at 2,Movie Task-test3
ESQ,235.4827792000142,,Focus_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,236.7806236000033,,Focus_response,8.0,Movie Task,1,2,,Marker Started at 8,Movie Task-test3
ESQ,236.7839928000467,,Future_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,237.91312760004075,,Future_response,6.0,Movie Task,1,2,,Marker Started at 6,Movie Task-test3
ESQ,237.91529860004084,,Self_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,239.22959810000611,,Self_response,5.0,Movie Task,1,2,,Marker Started at 5,Movie Task-test3
ESQ,239.23243970004842,,Sounds_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,240.76318970002467,,Sounds_response,7.0,Movie Task,1,2,,Marker Started at 7,Movie Task-test3
ESQ,240.7652602000162,,Past_start,,Movie Task,1,2,,,Movie Task-test3
ESQ,241.94642590003787,,Past_response,3.0,Movie Task,1,2,,Marker Started at 3,Movie Task-test3
ESQ,241.94909240002744,,Emotion_start,,Movie Task,1,2,,,Movie Task-test3
