METADATA:,,,,,,,,,,
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject,,,,,,
3162845,4,8,16,subject004,,,,,,
Time after setup,21.089397,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 ,,,,,,,,,,
Runtime Mod,-10,,,,,,,,,
EXPERIMENT DATA:,Movie Task,,,,,,,,,
ESQ,1369.079308,,Words_response,6.2,Movie Task,1,4,,Marker Started at 7,Movie Task-c4
ESQ,1372.314289,,Past_response,1,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,1375.684274,,Problem_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,1379.8873,,Absorption_response,1,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,1382.939306,,Emotion_response,4.1,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,1387.042296,,Detailed_response,2.7,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,1397.035283,,Knowledge_response,1,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,1400.003292,,Self_response,1,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,1406.075257,,Distracting_response,1,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,1416.400067,,Future_response,1,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,1418.652011,,Other_response,1,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,1421.020984,,Intrusive_response,1,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,1424.25698,,Deliberate_response,1,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1424.27375,,,,,,,,,
ESQ,1582.698898,,Absorption_response,1,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,1586.585893,,Emotion_response,4.4,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
ESQ,1590.421894,,Knowledge_response,6.8,Movie Task,1,4,,Marker Started at 8,Movie Task-c4
ESQ,1593.773888,,Other_response,5.3,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,1596.910907,,Intrusive_response,1,Movie Task,1,4,,Marker Started at 6,Movie Task-c4
ESQ,1600.246876,,Past_response,2,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
ESQ,1606.600901,,Distracting_response,1,Movie Task,1,4,,Marker Started at 3,Movie Task-c4
ESQ,1611.254883,,Words_response,5,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,1614.90788,,Deliberate_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,1622.396878,,Sounds_response,5.6,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,1626.433876,,Focus_response,1,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,1633.338857,,Problem_response,1,Movie Task,1,4,,Marker Started at 9,Movie Task-c4
ESQ,1638.843869,,Images_response,1,Movie Task,1,4,,Marker Started at 10,Movie Task-c4
ESQ,1643.280877,,Detailed_response,3.3,Movie Task,1,4,,Marker Started at 10,Movie Task-c4
ESQ,1646.316833,,Future_response,1,Movie Task,1,4,,Marker Started at 5,Movie Task-c4
ESQ,1648.718858,,Self_response,1,Movie Task,1,4,,Marker Started at 2,Movie Task-c4
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,1648.73586,,,,,,,,,
ESQ,1761.574793,,Absorption_response,1,Movie Task,1,4,,Marker Started at 4,Movie Task-c4
