METADATA:,,,,,,,,,,
Experiment Seed,Probe 1 Version,Probe 2 Version,Probe 3 Version,Subject,,,,,,
6602031,0,0,1,Subject050,,,,,,
Time after setup,29.5895552,,,,,,,,,
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task,,,,,,,,,
ESQ,1809.496037,,Emotion_response,7.8,Movie Task,1,0,,Marker Started at 7,Movie Task-summer
ESQ,1809.496819,,Distracting_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1815.249863,,Distracting_response,1,Movie Task,1,0,,Marker Started at 9,Movie Task-summer
ESQ,1815.250288,,Past_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1819.119157,,Past_response,1,Movie Task,1,0,,Marker Started at 5,Movie Task-summer
ESQ,1819.119833,,Focus_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1823.87377,,Focus_response,1.1,Movie Task,1,0,,Marker Started at 6,Movie Task-summer
ESQ,1823.874489,,Detailed_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1828.976336,,Detailed_response,1.9,Movie Task,1,0,,Marker Started at 6,Movie Task-summer
ESQ,1828.977111,,Words_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1832.331131,,Words_response,10,Movie Task,1,0,,Marker Started at 8,Movie Task-summer
ESQ,1832.331825,,Knowledge_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1837.61785,,Knowledge_response,9,Movie Task,1,0,,Marker Started at 10,Movie Task-summer
ESQ,1837.618521,,Sounds_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1840.585888,,Sounds_response,1.2,Movie Task,1,0,,Marker Started at 6,Movie Task-summer
ESQ,1840.586382,,Other_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1843.622211,,Other_response,8.3,Movie Task,1,0,,Marker Started at 10,Movie Task-summer
Movie prompt 1 summer.mp4,1843.639806,,,,Movie Task,1,0,,0,
ESQ,1952.826386,,Other_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1956.162519,,Other_response,9.8,Movie Task,1,0,,Marker Started at 3,Movie Task-summer
ESQ,1956.16319,,Detailed_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1959.948784,,Detailed_response,1.9,Movie Task,1,0,,Marker Started at 7,Movie Task-summer
ESQ,1959.949503,,Absorption_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1962.966405,,Absorption_response,1.8,Movie Task,1,0,,Marker Started at 7,Movie Task-summer
ESQ,1962.966921,,Problem_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1965.685896,,Problem_response,1.7,Movie Task,1,0,,Marker Started at 2,Movie Task-summer
ESQ,1965.686466,,Future_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1968.622739,,Future_response,1.1,Movie Task,1,0,,Marker Started at 5,Movie Task-summer
ESQ,1968.623412,,Deliberate_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1972.659165,,Deliberate_response,2.8,Movie Task,1,0,,Marker Started at 6,Movie Task-summer
ESQ,1972.659959,,Intrusive_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,1975.963067,,Intrusive_response,1,Movie Task,1,0,,Marker Started at 8,Movie Task-summer
ESQ,1975.96374,,Past_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,2006.769318,,Past_response,2.7,Movie Task,1,0,,Marker Started at 7,Movie Task-summer
ESQ,2006.770053,,Sounds_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,2009.938786,,Sounds_response,2.1,Movie Task,1,0,,Marker Started at 4,Movie Task-summer
ESQ,2009.939576,,Emotion_start,,Movie Task,1,0,,,Movie Task-summer
ESQ,2015.142698,,Emotion_response,6.2,Movie Task,1,0,,Marker Started at 6,Movie Task-summer
