METADATA:
Experiment Seed,Subject
7174657,17
Time after setup,7.2832065999973565
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Probe Order,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Movie Task
ESQ,1399.5164477999788,,Self_response,10.0,Movie Task,ignore,17,,Marker Started at 10,Movie Task-run2
ESQ,1399.5195151998196,,Past_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1400.91680479981,,Past_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1400.919451699825,,Deliberate_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1402.6660434999503,,Deliberate_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1402.6689258997794,,Focus_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1404.7667622999288,,Focus_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,1404.7701991999056,,Sounds_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1406.2505065998994,,Sounds_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1406.2529539999086,,Absorption_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1407.7497630999424,,Absorption_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,1407.75204689987,,Images_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1409.93396569998,,Images_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1409.9358782998752,,Other_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1428.168514299905,,Other_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run2
ESQ,1428.1718297000043,,Distracting_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1429.5689075998962,,Distracting_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
Movie prompt 3 run2.mp4,1429.600603299914,,,,Movie Task,ignore,17,,0,
ESQ,1540.7823982997797,,Problem_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1542.4611697997898,,Problem_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,1542.4628288999666,,Self_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1543.8283958998509,,Self_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1543.8312907998916,,Sounds_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1545.244894299889,,Sounds_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1545.2471203999594,,Other_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1546.6291019998025,,Other_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1546.6319615999237,,Deliberate_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1548.0447887999471,,Deliberate_response,3.0,Movie Task,ignore,17,,Marker Started at 3,Movie Task-run2
ESQ,1548.0473719998263,,Knowledge_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1549.729042199906,,Knowledge_response,4.0,Movie Task,ignore,17,,Marker Started at 4,Movie Task-run2
ESQ,1549.7305290999357,,Images_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1551.1454814998433,,Images_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1551.1478424998932,,Future_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1552.562583899824,,Future_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run2
ESQ,1552.5646720000077,,Words_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1554.6956805000082,,Words_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run2
ESQ,1554.698037999915,,Focus_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1560.3133161999285,,Focus_response,7.0,Movie Task,ignore,17,,Marker Started at 7,Movie Task-run2
ESQ,1560.3156157999765,,Detailed_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1563.662576999981,,Detailed_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,1563.6638518997934,,Emotion_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1565.148478699848,,Emotion_response,8.0,Movie Task,ignore,17,,Marker Started at 8,Movie Task-run2
ESQ,1565.1498023997992,,Distracting_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1574.3321605999954,,Distracting_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1574.3344363998622,,Absorption_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1575.748020999832,,Absorption_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
ESQ,1575.7500758999959,,Intrusive_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1577.0641101999208,,Intrusive_response,9.0,Movie Task,ignore,17,,Marker Started at 9,Movie Task-run2
ESQ,1577.0662364999298,,Past_start,,Movie Task,ignore,17,,,Movie Task-run2
ESQ,1578.448905199999,,Past_response,6.0,Movie Task,ignore,17,,Marker Started at 6,Movie Task-run2
Movie prompt 4 run2.mp4,1578.4825767998118,,,,Movie Task,ignore,17,,0,
EXPERIMENT DATA:,Movie Task
Start Time,1684.581101699965
Movie Task Start,1684.5812543998472,,,,Movie Task,ignore,17,,,
Movie Init,1756.6718461997807,,,,Movie Task,ignore,17,,,
Movie Start,1756.675489099929,,,,Movie Task,ignore,17,,run3.mp4,
ESQ,1892.6788639998995,,Detailed_start,,Movie Task,ignore,17,,,Movie Task-run3
